areasymbol,musym,muname,mukind,comppct_l,comppct_h,compname,compkind,runoff,tfact,wei,weg,erocl,soilslippot,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,cokey,slopelen_r,reannualpr_r,esrisymbology,kffact,mukey,Shape_Length,Shape_Area,mukey_cokey
CA708,131,"Yallani family-Sheld family, moderately deep association, 35 to 70 percent slopes.",Association,,,Yallani,Family,Medium,5,56,5,,,,Inceptisols,Ochrepts,Xerochrepts,Andic Xerochrepts,medial-skeletal,,25435157,,,Inceptisols,0.200000002980232,471104,2917.127774009338737,293263.495046079624444,471104_25435157
CA713,L21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25439113,,,Inceptisols,0.230000004172325,1546119,1056.472694466972825,14143.556577992232633,1546119_25439113
CA713,L21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25439113,,,Inceptisols,0.230000004172325,1546119,2290.129931515419685,280923.095550155732781,1546119_25439113
CA713,L21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25439113,,,Inceptisols,0.230000004172325,1546119,6910.621757424978568,1768774.738040767842904,1546119_25439113
CA713,L74,Rock Outcrop-Rubble Land complex.,Complex,,,Rock outcrop,Miscellaneous area,Very high,,,,,,,,,,,,,25439146,,,No Soil,,1546215,5613.281637025696909,1536906.225423640105873,1546215_25439146
CA713,L74,Rock Outcrop-Rubble Land complex.,Complex,,,Rock outcrop,Miscellaneous area,Very high,,,,,,,,,,,,,25439146,,,No Soil,,1546215,2549.786356057834837,121494.363922324395389,1546215_25439146
CA713,W,Water,Consociation,,,Water,Miscellaneous area,,,,,None - deposition,,,,,,,,,25439191,,,Bodies of Water,,1547199,764.012996275653563,40821.969461404260073,1547199_25439191
CA713,W,Water,Consociation,,,Water,Miscellaneous area,,,,,None - deposition,,,,,,,,,25439191,,,Bodies of Water,,1547199,5675.128001840264005,831266.058017305098474,1547199_25439191
CA713,W,Water,Consociation,,,Water,Miscellaneous area,,,,,None - deposition,,,,,,,,,25439191,,,Bodies of Water,,1547199,48273.279589763442345,13456208.907035194337368,1547199_25439191
CA713,W,Water,Consociation,,,Water,Miscellaneous area,,,,,None - deposition,,,,,,,,,25439191,,,Bodies of Water,,1547199,4482.419162045005578,264332.078181824181229,1547199_25439191
CA713,W,Water,Consociation,,,Water,Miscellaneous area,,,,,None - deposition,,,,,,,,,25439191,,,Bodies of Water,,1547199,26491.091978351443686,2226515.881011523772031,1547199_25439191
CA713,105,"Bonta-Toiyabe families complex, 2 to 30 percent slopes.",Complex,,,Bonta family,Family,,3,56,5,,,"Coarse-loamy, mixed, frigid Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,coarse-loamy,,25438976,,,Alfisols,0.159999996423721,471114,6580.131452216377511,1113924.358958925819024,471114_25438976
CA713,111,"Chaix family, 2 to 30 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439021,,,Inceptisols,0.250000000000000,471120,8868.664995252302106,1759066.132792419753969,471120_25439021
CA713,111,"Chaix family, 2 to 30 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439021,,,Inceptisols,0.250000000000000,471120,37972.255238685342192,11285276.519037481397390,471120_25439021
CA713,111,"Chaix family, 2 to 30 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439021,,,Inceptisols,0.250000000000000,471120,6652.373135530244326,1557639.401937862159684,471120_25439021
